time,m,n,lead_A,lead_B
0.034514,42,2509,2509,2509
0.091365,346,1558,1558,1558
0.135235,2149,748,2149,2149
2.551106,3456,2623,3456,3456
0.017346,1141,342,1141,1141
7.190632,3177,4679,4679,4679
3.97833,1663,4848,4848,4848
5.342944,3688,3760,3760,3760
0.52063,2313,1456,2313,2313
1.56838,3643,2028,3643,3643
7.251146,4029,4157,4157,4157
3.367765,1969,4082,4082,4082
0.014968,1260,302,1260,1260
1.681295,1338,3502,3502,3502
0.093194,1943,637,1943,1943
5.407312,4472,3434,4472,4472
0.153794,1220,1078,1220,1220
0.606343,1018,2392,2392,2392
1.134495,2332,2143,2332,2332
0.368868,311,3354,3354,3354
0.899239,2500,1821,2500,2500
0.372986,2151,1274,2151,2151
1.449833,2191,2457,2457,2457
0.109489,432,1526,1526,1526
4.783224,3100,3865,3865,3865
0.483872,307,3871,3871,3871
0.193181,2609,773,2609,2609
0.440942,3419,1077,3419,3419
7.900361,4080,4333,4333,4333
0.404001,1894,1418,1894,1894
0.900545,2193,1945,2193,2193
0.121058,1108,951,1108,1108
0.704543,1031,2562,2562,2562
0.003958,3190,74,3190,3190
2.1e-05,78,12,78,78
2.451179,1349,4218,4218,4218
0.326083,1684,1346,1684,1684
7.69942,4569,4054,4569,4569
2.305882,1257,4213,4213,4213
1.95911,1984,3082,3082,3082
0.17471,4413,547,4413,4413
1.663573,657,4919,4919,4919
1.084727,1932,2314,2314,2314
1.629912,4627,1779,4627,4627
5.339876,3107,4084,4084,4084
0.02509,19,2875,2875,2875
1.084501,1711,2435,2435,2435
0.605747,610,3083,3083,3083
0.70877,482,3729,3729,3729
5.455603,4388,3482,4388,4388
