time,m,n,k,lead_A,lead_B,lead_C
15.022771,3037,4920,4966,4966,4966,4966
0.326102,3457,775,600,3457,3457,3457
0.011199,190,97,2265,2265,2265,2265
0.170902,1962,2637,164,2637,2637,2637
0.726922,1017,1052,3356,3356,3356,3356
3.124063,2966,3338,1582,3338,3338,3338
2.149712,1161,4144,2238,4144,4144,4144
0.347601,120,4227,3190,4227,4227,4227
1.401002,4034,648,2674,4034,4034,4034
0.171512,502,1739,957,1739,1739,1739
0.717314,1581,2996,754,2996,2996,2996
1.259945,343,4952,3647,4952,4952,4952
2.88265,979,3435,4271,4271,4271,4271
0.291672,2597,195,2762,2762,2762,2762
0.07737,754,256,1628,1628,1628,1628
3.561671,4056,3604,1193,4056,4056,4056
5.28406,2873,1924,4764,4764,4764,4764
9.429289,3693,4019,3190,4019,4019,4019
5.010626,4528,3188,1677,4528,4528,4528
1.146287,590,3261,2954,3261,3261,3261
